smiles,vina_kcal_mol,QED,SA,MW
CC(C(=O)O)c1ccc(Oc2ccc3cc(C(N)=O)ccc3c2)cc1,-7.67,0.74,2.4,335
CC(C(=O)O)c1ccc(Oc2ccccc2-c2ccccc2N)cc1,-7.52,0.65,2.4,333
CC(C(=O)O)c1ccc(Oc2ccc3cc(C(=O)O)ccc3c2)cc1,-7.47,0.72,2.4,336
CC(C(=O)O)c1ccc(Oc2ccccc2-c2ccncc2)cc1,-7.44,0.74,2.4,319
CC(C(=O)O)c1ccc(Oc2ccc(-c3ccccc3N)cc2)cc1,-7.4,0.65,2.3,333
CC(C(=O)O)c1ccc(Oc2ccc(C(N)=O)cc2)cc1,-7.33,0.88,2.2,285
CC(=O)CC(c1ccccc1)c1ccc(C(C)C(=O)O)cc1,-7.24,0.88,2.7,296
CC(C(=O)O)c1ccc(-c2ccc(-c3ccccc3C(=O)O)cc2)cc1,-7.22,0.69,2.2,346
CC(C(=O)O)c1ccc(Oc2ccccc2C(F)(F)F)cc1,-7.22,0.89,2.4,310
CC(C(=O)O)c1ccc(Oc2ccc(-c3ccncc3)cc2)cc1,-7.21,0.74,2.3,319
CC(C(=O)O)c1ccc(Oc2ccc3cc(CCN)ccc3c2)cc1,-7.14,0.7,2.5,335
CC(C(=O)O)c1ccc(Oc2ccccc2C(C)C(=O)O)cc1,-7.06,0.85,2.7,314
CC(C(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1,-7.03,0.89,2.3,310
COc1ccc2cc(-c3ccc(C(C)C(=O)O)cc3)ccc2c1,-6.98,0.76,2.2,306
CC(C(=O)O)c1ccc(Oc2ccc(C(=O)O)cc2)cc1,-6.97,0.88,2.2,286
CC(C(=O)O)c1ccc(-c2ccccc2N)cc1,-6.94,0.81,2.2,241
CC(C(=O)O)c1ccc(Oc2ccc(O)cc2)cc1,-6.94,0.88,2.2,258
COc1ccc2cc(Oc3ccc(C(C)C(=O)O)cc3)ccc2c1,-6.93,0.73,2.3,322
CC(C(=O)O)c1ccc(-c2ccc(C(C)C(=O)O)cc2)cc1,-6.83,0.88,2.6,298
CC(C(=O)O)c1ccc(-c2c(O)c3ccccc3oc2=O)cc1,-6.75,0.72,2.6,310
CC(C(=O)O)c1ccc(Oc2ccc(CCN)cc2)cc1,-6.74,0.85,2.3,285
CC(C)Cc1ccc(Oc2ccc(C(C)C(=O)O)cc2)cc1,-6.73,0.83,2.2,298
CC(C(=O)O)c1ccc(-c2ccc3cc(CCN)ccc3c2)cc1,-6.73,0.74,2.4,319
CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)cc1,-6.72,0.72,2.2,318
