smiles,vina_kcal_mol,AMES,DILI,hERG,ClinTox,Carcinogens_Lagunin,SR-p53,SR-MMP,CYP3A4_Veith,CYP2C9_Veith,Solubility_AqSolDB,Caco2_Wang,Clearance_Hepatocyte_AZ,Half_Life_Obach,LD50_Zhu,Bioavailability_Ma
CC(C(=O)O)c1ccc(Oc2ccc3cc(C(N)=O)ccc3c2)cc1,-7.67,0.14714298,0.92022866,0.17643097,0.18195756,0.40171757,0.08402072,0.11492038,0.04185654,0.25100765,-4.548931,-4.9596567,13.558469,11.258946,2.5783699,0.88485605
CC(C(=O)O)c1ccc(Oc2ccccc2-c2ccccc2N)cc1,-7.52,0.21067724,0.9039062,0.47311696,0.21041755,0.32381672,0.19104151,0.45988408,0.244592,0.5128135,-4.2543817,-4.7682257,12.67715,-0.55698586,2.7992084,0.88890666
CC(C(=O)O)c1ccc(Oc2ccc3cc(C(=O)O)ccc3c2)cc1,-7.47,0.079291366,0.9207684,0.0875727,0.15953422,0.49155188,0.042112056,0.055278618,0.01081868,0.23075783,-4.5133333,-5.090747,7.675626,20.21768,2.6609368,0.80928993
CC(C(=O)O)c1ccc(Oc2ccccc2-c2ccncc2)cc1,-7.44,0.025719583,0.9038575,0.38514337,0.20106073,0.28759998,0.13335988,0.3159723,0.37359452,0.69393194,-3.9490674,-4.7858253,12.114901,0.9386675,2.8524175,0.91516197
CC(C(=O)O)c1ccc(Oc2ccc(-c3ccccc3N)cc2)cc1,-7.4,0.27897438,0.9182938,0.44592604,0.21486971,0.31875253,0.2211949,0.47627497,0.15237753,0.4014848,-4.531094,-4.7944555,12.9470005,7.4479585,2.8122325,0.8697418
CC(C(=O)O)c1ccc(Oc2ccc(C(N)=O)cc2)cc1,-7.33,0.059749745,0.8223816,0.06700955,0.116512455,0.29876447,0.030155864,0.02867343,0.008844551,0.08820338,-3.3430371,-5.0126047,10.296438,-5.9545245,2.209311,0.8830738
CC(=O)CC(c1ccccc1)c1ccc(C(C)C(=O)O)cc1,-7.24,0.026371097,0.6241973,0.19070375,0.07863294,0.34245664,0.06345953,0.11223368,0.06626327,0.23945236,-3.3976207,-4.689147,9.360576,-6.918639,2.689695,0.87332356
CC(C(=O)O)c1ccc(-c2ccc(-c3ccccc3C(=O)O)cc2)cc1,-7.22,0.067254074,0.94748974,0.10352391,0.14207521,0.50792366,0.036033828,0.08539089,0.0073285624,0.24050708,-4.49048,-5.1649237,-0.6610138,23.685242,2.9290252,0.851812
CC(C(=O)O)c1ccc(Oc2ccccc2C(F)(F)F)cc1,-7.22,0.021611128,0.8131561,0.14931491,0.04764854,0.27512985,0.058322378,0.23870473,0.025424529,0.2478337,-4.095981,-4.578122,13.263582,13.6369915,2.996038,0.92931473
CC(C(=O)O)c1ccc(Oc2ccc(-c3ccncc3)cc2)cc1,-7.21,0.05049438,0.92788,0.3445018,0.21136668,0.3052121,0.16179931,0.31877893,0.2328147,0.56537545,-4.251031,-4.812874,11.578632,10.414838,2.8948083,0.90987253
